00000.png;520;598;656;694;1;0.742
00000.png;1820;0;1920;83;1;0.575
00000.png;418;601;481;628;1;0.506
00002.png;154;579;233;603;1;0.682
00002.png;423;762;502;789;1;0.601
00003.png;1287;396;1590;589;1;0.891
00004.png;1346;432;1466;483;1;0.853
00004.png;1463;430;1607;481;1;0.846
00004.png;1341;481;1617;606;1;0.846
00005.png;1136;511;1404;636;1;0.855
00005.png;1248;465;1399;516;1;0.852
00005.png;1148;462;1250;511;1;0.849
00006.png;1056;311;1091;344;1;0.809
00006.png;934;65;1233;131;1;0.574
00007.png;1286;366;1605;568;1;0.895
00008.png;1321;460;1423;506;1;0.853
00008.png;1232;453;1321;498;1;0.846
00009.png;1265;422;1522;587;1;0.846
00010.png;1184;516;1439;631;1;0.869
00010.png;1197;469;1311;517;1;0.850
00010.png;1308;475;1435;526;1;0.849
00011.png;1176;429;1518;630;1;0.905
00011.png;1200;366;1369;450;1;0.869
00011.png;1354;385;1515;467;1;0.867
00012.png;1097;417;1538;633;1;0.884
00012.png;1113;321;1547;463;1;0.860
00013.png;735;176;999;387;1;0.890
00013.png;593;322;1256;437;1;0.501
00014.png;1030;289;1086;326;1;0.517
00015.png;627;195;881;405;1;0.857
00015.png;878;252;1038;406;1;0.543
00016.png;963;164;1096;221;1;0.888
00016.png;845;165;972;224;1;0.886
00016.png;839;215;1104;373;1;0.858
00017.png;581;177;843;401;1;0.920
00017.png;900;293;1920;664;1;0.678
00018.png;1222;438;1644;594;1;0.890
00018.png;1241;365;1434;452;1;0.863
00018.png;1426;383;1628;460;1;0.855
00019.png;708;60;1004;272;1;0.898
00019.png;989;77;1183;283;1;0.850
00020.png;708;60;1004;272;1;0.898
00020.png;989;77;1183;283;1;0.850
00021.png;1271;353;1731;571;1;0.903
00021.png;1289;279;1496;367;1;0.886
00021.png;1478;286;1722;375;1;0.878
00022.png;1365;371;1743;574;1;0.902
00022.png;1394;315;1539;385;1;0.872
00022.png;1529;325;1738;411;1;0.838
00023.png;716;54;1040;312;1;0.924
00024.png;1356;258;1753;503;1;0.849
00026.png;1085;372;1427;581;1;0.888
00026.png;1270;339;1317;384;1;0.607
00027.png;564;94;859;312;1;0.898
00027.png;842;187;1038;333;1;0.535
00028.png;1187;311;1643;585;1;0.898
00028.png;1207;257;1647;401;1;0.882
00030.png;1256;332;1555;508;1;0.846
00030.png;1810;344;1920;401;1;0.695
00032.png;1254;252;1767;612;1;0.907
00032.png;1306;189;1493;278;1;0.876
00032.png;1476;211;1765;311;1;0.857
00033.png;617;97;837;355;1;0.887
00033.png;579;1043;743;1080;1;0.747
00036.png;501;99;756;361;1;0.893
00038.png;1289;368;1772;587;1;0.891
00038.png;1320;284;1519;387;1;0.873
00038.png;1515;307;1753;414;1;0.871
00039.png;767;65;1020;203;1;0.871
00039.png;755;171;1008;294;1;0.827
00040.png;1315;210;1679;387;1;0.898
00040.png;1312;362;1676;552;1;0.872
00041.png;638;53;939;326;1;0.874
00042.png;1098;266;1490;552;1;0.905
00042.png;1119;211;1496;347;1;0.865
00043.png;693;56;967;325;1;0.881
00044.png;1272;152;1471;230;1;0.865
00044.png;1460;163;1818;247;1;0.860
00044.png;1245;224;1827;525;1;0.855
00045.png;614;43;897;356;1;0.905
00046.png;1324;233;1497;314;1;0.885
00046.png;1311;302;1679;515;1;0.876
00046.png;1488;243;1666;312;1;0.850
00047.png;1366;329;1686;525;1;0.914
00048.png;1006;446;1240;582;1;0.885
00048.png;1018;409;1114;455;1;0.881
00048.png;1103;419;1238;464;1;0.860
00049.png;455;48;867;377;1;0.906
00050.png;944;475;1262;720;1;0.881
00050.png;975;432;1109;499;1;0.860
00050.png;1100;452;1253;514;1;0.853
00051.png;1172;558;1416;718;1;0.877
00052.png;616;114;1114;379;1;0.869
00052.png;635;30;865;130;1;0.852
00052.png;856;46;1093;128;1;0.846
00053.png;1081;503;1424;699;1;0.882
00053.png;1104;441;1263;523;1;0.870
00053.png;1254;461;1413;533;1;0.857
00054.png;1092;577;1328;681;1;0.871
00054.png;1097;541;1194;582;1;0.863
00054.png;1191;538;1316;579;1;0.851
00055.png;1441;460;1643;613;1;0.865
00055.png;1434;587;1637;702;1;0.852
00056.png;1452;495;1659;590;1;0.846
00056.png;1280;481;1455;572;1;0.846
00056.png;1261;569;1668;731;1;0.823
00057.png;735;346;1015;497;1;0.871
00057.png;755;296;875;353;1;0.859
00057.png;872;309;1012;369;1;0.857
00058.png;539;195;858;448;1;0.856
00059.png;1106;446;1485;710;1;0.865
00059.png;1137;383;1292;463;1;0.859
00059.png;1286;403;1478;486;1;0.856
00060.png;732;215;1125;439;1;0.878
00060.png;765;161;906;229;1;0.865
00060.png;898;179;1123;258;1;0.842
00061.png;50;644;113;687;1;0.930
00061.png;1145;691;1200;730;1;0.909
00061.png;416;135;811;429;1;0.876
00062.png;821;158;1018;233;1;0.885
00062.png;572;147;801;415;1;0.855
00062.png;827;229;1014;412;1;0.846
00063.png;783;93;1022;440;1;0.894
00063.png;1015;117;1324;198;1;0.888
00063.png;1009;176;1323;445;1;0.886
00063.png;1102;692;1168;717;1;0.821
00064.png;601;143;968;448;1;0.889
00065.png;912;275;1118;390;1;0.909
00065.png;491;162;879;445;1;0.877
00065.png;999;383;1031;417;1;0.535
00066.png;746;127;1337;429;1;0.879
00066.png;788;49;1040;170;1;0.858
00066.png;1012;85;1330;217;1;0.842
00067.png;1324;596;1413;692;1;0.931
00067.png;486;79;926;435;1;0.924
00067.png;175;525;276;620;1;0.915
00067.png;902;211;1333;483;1;0.895
00067.png;941;157;1104;240;1;0.859
00067.png;1086;179;1330;275;1;0.839
00068.png;463;115;895;440;1;0.898
00069.png;1184;620;1218;673;1;0.910
00069.png;732;381;920;556;1;0.878
00069.png;922;435;1106;491;1;0.865
00069.png;1186;661;1218;687;1;0.684
00070.png;568;115;920;448;1;0.890
00070.png;921;227;1265;314;1;0.868
00070.png;1778;489;1892;636;1;0.862
00070.png;1794;613;1899;683;1;0.769
00072.png;648;56;986;330;1;0.865
00073.png;936;81;1117;261;1;0.530
00073.png;743;43;905;282;1;0.504
00074.png;1207;298;1391;374;1;0.871
00074.png;1383;305;1579;380;1;0.836
00074.png;1196;371;1592;536;1;0.829
00075.png;803;143;1158;284;1;0.782
00083.png;1449;323;1757;488;1;0.919
00084.png;1392;166;1879;431;1;0.854
00084.png;1406;108;1587;175;1;0.846
00084.png;1581;101;1858;171;1;0.846
00084.png;929;429;1173;606;1;0.730
00085.png;1250;335;1657;524;1;0.885
00085.png;1259;308;1361;367;1;0.872
00085.png;1354;281;1634;357;1;0.845
00086.png;1215;331;1639;541;1;0.893
00086.png;1236;262;1429;347;1;0.869
00086.png;1418;277;1627;353;1;0.862
00087.png;873;168;1137;245;1;0.897
00087.png;869;210;1132;381;1;0.887
00087.png;1317;372;1430;507;1;0.883
00088.png;648;139;920;383;1;0.885
00089.png;1344;355;1651;512;1;0.911
00090.png;1458;179;1835;261;1;0.877
00090.png;1458;230;1829;525;1;0.855
00091.png;845;90;1118;357;1;0.907
00092.png;716;67;936;395;1;0.893
00092.png;581;222;1318;456;1;0.528
00093.png;773;171;1084;234;1;0.896
00093.png;771;226;1085;371;1;0.874
00094.png;1201;153;1397;325;1;0.887
00094.png;819;211;1046;291;1;0.879
00094.png;1198;109;1390;170;1;0.862
00095.png;1357;352;1857;579;1;0.898
00095.png;1367;273;1602;363;1;0.894
00095.png;1581;273;1833;362;1;0.883
00096.png;1518;227;1653;278;1;0.861
00096.png;1413;236;1519;286;1;0.859
00096.png;1407;275;1663;377;1;0.759
00097.png;771;105;1099;356;1;0.873
00098.png;1217;409;1369;487;1;0.880
00098.png;1204;477;1516;574;1;0.878
00098.png;1356;420;1513;496;1;0.867
00099.png;1156;417;1425;570;1;0.882
00099.png;1174;383;1277;426;1;0.869
00099.png;1271;390;1421;437;1;0.851
00100.png;901;155;1232;358;1;0.853
00100.png;913;108;1035;158;1;0.850
00100.png;1028;111;1226;161;1;0.846
00101.png;621;78;887;360;1;0.890
00101.png;897;174;1121;217;1;0.862
00101.png;977;257;1033;281;1;0.841
00101.png;944;254;978;278;1;0.550
